user_id,signup_date,target_exam,engagement_level
U00293,2026-01-16,CAT,medium
U00294,2025-06-17,SSC,high
U00295,2026-04-24,Placements,high
U00296,2026-04-28,CAT,medium
U00297,2025-08-15,CAT,low
U00298,2025-07-20,Placements,low
U00299,2026-01-23,Placements,high
U00300,2025-06-06,CAT,low
U00301,2026-06-18,CAT,low
U00302,2025-10-17,CAT,high
U00303,2026-01-12,Placements,medium
U00304,2025-07-02,SSC,low
U00305,2025-07-27,Placements,low
U00306,2025-09-03,Placements,high
U00307,2025-11-22,CAT,low
U00308,2026-05-27,CAT,high
U00309,2026-05-25,CAT,low
U00310,2026-04-15,Banking,medium
U00311,2025-08-26,Placements,high
U00312,2026-03-10,Placements,high
U00313,2026-05-15,CAT,medium
U00314,2025-09-23,Placements,low
U00315,2025-09-17,CAT,low
U00316,2026-04-18,SSC,medium
U00317,2026-03-17,Banking,medium
U00318,2026-06-17,Placements,low
U00319,2026-01-27,CAT,low
U00320,2025-07-18,CAT,low
U00321,2026-01-16,CAT,high
U00322,2026-04-25,CAT,medium
U00323,2026-03-04,CAT,low
U00324,2025-12-09,SSC,high
U00325,2025-12-12,Placements,low
U00326,2026-02-26,CAT,medium
U00327,2025-07-26,Placements,high
U00328,2026-01-19,Banking,low
U00329,2025-12-11,CAT,high
U00330,2026-04-06,Banking,high
U00331,2026-01-14,CAT,high
U00332,2025-12-09,CAT,low
U00333,2025-06-19,Banking,low
U00334,2025-11-29,Banking,medium
U00335,2026-04-06,Banking,medium
U00336,2025-07-19,Placements,low
U00337,2026-02-08,Placements,low
U00338,2026-06-14,CAT,low
U00339,2025-09-30,CAT,medium
U00340,2026-05-19,SSC,medium
U00341,2026-07-02,SSC,low
U00342,2026-03-16,Placements,medium
U00343,2025-10-01,Placements,medium
U00344,2025-06-16,CAT,medium
U00345,2026-06-26,CAT,low
U00346,2026-05-26,Placements,low
U00347,2025-07-06,Placements,medium
U00348,2025-06-30,Placements,low
U00349,2026-05-18,CAT,low
U00350,2025-11-25,CAT,medium
U00351,2026-06-05,Placements,low
U00352,2025-12-03,CAT,medium
U00353,2026-03-29,SSC,high
U00354,2025-07-13,CAT,high
U00355,2026-07-02,Placements,medium
U00356,2025-12-11,CAT,medium
U00357,2026-04-07,CAT,medium
U00358,2026-06-29,Placements,medium
U00359,2026-03-08,Placements,medium
U00360,2025-09-05,CAT,high
U00361,2025-10-05,CAT,low
U00362,2026-06-03,Placements,low
U00363,2026-04-30,Placements,low
U00364,2025-07-08,CAT,medium
U00365,2026-02-05,CAT,medium
U00366,2026-03-29,Placements,medium
U00367,2025-09-17,Banking,low
U00368,2025-12-10,Banking,medium
U00369,2025-10-26,Placements,low
U00370,2026-04-26,SSC,low
U00371,2026-02-11,CAT,medium
U00372,2025-06-15,CAT,high
U00373,2026-02-21,CAT,high
U00374,2026-04-05,Placements,low
U00375,2026-06-01,CAT,low
U00376,2025-10-10,SSC,medium
U00377,2026-06-06,CAT,low
U00378,2025-11-01,Placements,high
U00379,2025-06-23,Placements,medium
U00380,2025-12-15,Banking,medium
U00381,2025-11-27,Banking,low
U00382,2026-05-27,CAT,medium
U00383,2026-06-03,Placements,low
U00384,2026-04-19,CAT,medium
U00385,2025-10-30,Placements,medium
U00386,2025-11-29,CAT,high
U00387,2025-08-16,Placements,high
U00388,2026-06-14,CAT,medium
U00389,2025-11-19,Placements,low
U00390,2026-03-20,CAT,medium
U00391,2025-09-12,Placements,low
U00392,2025-12-06,CAT,high
U00393,2026-01-26,Placements,medium
U00394,2025-06-11,Placements,medium
U00395,2026-05-06,Placements,low
U00396,2026-02-10,CAT,high
U00397,2025-12-13,SSC,low
U00398,2025-12-06,SSC,high
U00399,2025-06-04,CAT,high
U00400,2026-03-23,Placements,low
U00401,2025-10-12,CAT,low
U00402,2025-12-18,CAT,medium
U00403,2025-09-01,Placements,low
U00404,2025-06-07,SSC,low
U00405,2026-01-27,CAT,medium
U00406,2026-03-03,CAT,high
U00407,2026-04-28,CAT,medium
U00408,2025-11-12,Placements,high
U00409,2026-01-04,Placements,medium
U00410,2025-08-15,Placements,low
U00411,2026-05-01,CAT,medium
U00412,2026-06-05,CAT,low
U00413,2025-09-02,CAT,low
U00414,2026-01-17,Placements,medium
U00415,2025-07-27,Banking,medium
U00416,2026-03-25,CAT,low
U00417,2026-05-05,CAT,low
U00418,2025-08-21,SSC,high
U00419,2025-12-28,Placements,medium
U00420,2025-06-14,CAT,medium
U00421,2026-06-25,Placements,high
U00422,2025-08-05,Placements,high
U00423,2026-04-20,Banking,low
U00424,2026-05-03,Placements,high
U00425,2025-12-14,Placements,medium
U00426,2026-06-14,Placements,low
U00427,2025-07-04,Placements,low
U00428,2025-08-02,SSC,low
U00429,2026-03-15,Placements,medium
U00430,2026-01-10,Placements,low
U00431,2026-02-18,CAT,low
U00432,2025-06-11,Placements,medium
U00433,2026-06-14,Placements,medium
U00434,2025-07-31,Banking,low
U00435,2025-06-14,Placements,high
U00436,2026-04-07,CAT,medium
U00437,2025-09-21,CAT,medium
U00438,2026-01-10,Placements,low
U00439,2025-06-02,CAT,high
U00440,2026-03-28,SSC,high
U00441,2026-04-29,SSC,low
U00442,2025-07-05,SSC,medium
U00443,2026-03-29,Placements,medium
U00444,2025-10-21,CAT,medium
U00445,2026-03-20,CAT,medium
U00446,2025-06-02,CAT,high
U00447,2026-03-12,CAT,medium
U00448,2025-07-05,Banking,medium
U00449,2026-05-01,Banking,medium
U00450,2026-01-26,CAT,medium
U00451,2025-06-26,CAT,medium
U00452,2025-06-26,Placements,medium
U00453,2025-09-09,Placements,low
U00454,2025-08-09,Placements,high
U00455,2026-02-11,CAT,medium
U00456,2026-05-20,SSC,medium
U00457,2025-12-25,SSC,medium
U00458,2026-05-08,SSC,high
U00459,2025-08-26,Placements,high
U00460,2026-02-26,CAT,medium
U00461,2025-06-13,CAT,medium
U00462,2025-11-24,CAT,low
U00463,2026-05-09,CAT,low
U00464,2026-05-08,CAT,low
U00465,2026-05-20,CAT,medium
U00466,2026-02-24,CAT,low
U00467,2026-01-23,Placements,low
U00468,2026-01-25,Placements,high
U00469,2026-02-07,CAT,medium
U00470,2026-02-09,CAT,high
U00471,2025-06-26,Banking,medium
U00472,2025-07-14,Placements,low
U00473,2025-10-21,CAT,medium
U00474,2026-05-10,CAT,low
U00475,2026-03-29,Placements,low
U00476,2026-01-24,Placements,high
U00477,2025-08-08,CAT,high
U00478,2026-05-24,Placements,medium
U00479,2025-12-15,Placements,medium
U00480,2026-02-15,CAT,medium
U00481,2025-08-06,CAT,high
U00482,2025-07-22,CAT,medium
U00483,2025-07-24,Placements,high
U00484,2026-03-16,Placements,high
U00485,2025-11-19,CAT,medium
U00486,2026-01-05,Banking,medium
U00487,2026-04-28,Placements,high
U00488,2026-05-02,Banking,low
U00489,2026-07-01,SSC,high
U00490,2026-06-12,CAT,medium
U00491,2026-04-04,Placements,low
U00492,2025-12-23,Placements,medium
U00493,2025-11-04,CAT,high
U00494,2026-01-09,Placements,high
U00495,2025-06-15,CAT,high
U00496,2026-02-07,CAT,high
U00497,2026-01-17,CAT,medium
U00498,2025-09-12,CAT,medium
U00499,2026-04-22,CAT,medium
U00500,2025-11-10,Banking,low
U00501,2026-04-01,CAT,high
U00502,2025-12-03,CAT,low
U00503,2025-12-17,CAT,medium
U00504,2026-05-23,Placements,low
U00505,2026-03-16,Banking,high
U00506,2026-05-18,Placements,low
U00507,2025-07-28,CAT,medium
U00508,2026-03-31,CAT,medium
U00509,2025-08-25,Placements,low
U00510,2025-08-16,CAT,high
U00511,2025-06-19,SSC,low
U00512,2025-11-29,Placements,high
U00513,2025-08-01,Placements,low
U00514,2025-09-13,Placements,high
U00515,2025-12-06,Placements,medium
U00516,2025-12-23,CAT,low
U00517,2025-10-01,Placements,low
U00518,2026-06-09,CAT,low
U00519,2026-03-19,Placements,low
U00520,2026-06-14,CAT,low
U00521,2026-05-06,Placements,medium
U00522,2026-01-22,CAT,low
U00523,2025-10-23,Banking,medium
U00524,2026-06-10,Placements,low
U00525,2026-02-27,CAT,medium
U00526,2026-07-06,CAT,low
U00527,2026-05-10,Placements,medium
U00528,2026-04-09,Placements,high
U00529,2025-08-29,Placements,medium
U00530,2025-11-28,CAT,low
U00531,2025-06-23,CAT,medium
U00532,2025-06-25,Placements,low
U00533,2026-02-09,CAT,high
U00534,2025-11-30,CAT,high
U00535,2025-07-25,CAT,low
U00536,2026-01-04,Placements,high
U00537,2026-01-26,Placements,high
U00538,2026-06-18,SSC,medium
U00539,2025-10-15,SSC,low
U00540,2026-06-05,Placements,low
U00541,2026-02-24,Placements,low
U00542,2025-12-31,Placements,medium
U00543,2026-04-24,CAT,medium
U00544,2026-01-29,Banking,high
U00545,2025-09-05,Placements,low
U00546,2025-12-03,Placements,low
U00547,2026-03-05,CAT,low
U00548,2025-08-01,CAT,low
U00549,2026-03-10,Placements,low
U00550,2025-08-06,CAT,low
U00551,2026-06-10,Placements,medium
U00552,2025-07-28,Placements,medium
U00553,2026-02-06,Placements,high
U00554,2026-06-08,Banking,low
U00555,2026-02-10,CAT,high
U00556,2025-10-13,Banking,high
U00557,2026-02-16,CAT,low
U00558,2026-01-17,Placements,low
U00559,2025-10-23,CAT,high
U00560,2026-02-11,CAT,medium
U00561,2026-01-17,Banking,low
U00562,2026-04-07,Banking,medium
U00563,2025-10-01,Placements,medium
U00564,2025-12-09,CAT,low
U00565,2026-04-11,Banking,high
U00566,2026-04-15,CAT,low
U00567,2026-05-08,CAT,high
U00568,2026-05-14,SSC,low
U00569,2025-11-18,Placements,high
U00570,2026-05-02,Placements,high
U00571,2026-03-09,Placements,high
U00572,2025-11-05,CAT,medium
U00573,2025-09-19,SSC,medium
U00574,2026-03-02,SSC,low
U00575,2025-09-29,SSC,medium
U00576,2025-12-08,CAT,low
U00577,2025-12-15,SSC,low
U00578,2026-04-06,Banking,high
U00579,2026-03-24,Placements,medium
U00580,2026-03-30,Placements,low
U00581,2026-01-27,Banking,medium
U00582,2026-06-20,CAT,low
U00583,2025-08-03,CAT,low
U00584,2025-08-30,Placements,medium
U00585,2025-11-27,CAT,low
U00586,2025-08-14,Placements,medium
U00587,2026-07-01,CAT,medium
U00588,2025-06-19,CAT,high
U00589,2025-07-12,SSC,high
U00590,2026-04-10,SSC,medium
U00591,2025-09-11,Placements,low
U00592,2025-07-02,Placements,high
U00593,2026-05-23,CAT,medium
U00594,2025-12-12,SSC,medium
U00595,2025-10-09,CAT,medium
U00596,2026-01-05,Banking,medium
U00597,2026-04-24,Banking,medium
U00598,2026-03-23,CAT,high
U00599,2025-08-03,CAT,high
U00600,2025-08-16,SSC,high
