question_id,section,subtopic,difficulty_tag,exam_tags
Q00131,Verbal Ability,Odd One Out,Easy,"Placements,CAT,SSC"
Q00132,Quantitative Aptitude,Permutation & Combination,Hard,"General,TCS NQT,SSC"
Q00133,Verbal Ability,Para Jumbles,Easy,General
Q00134,Verbal Ability,Critical Reasoning,Hard,Placements
Q00135,Data Interpretation,Line Graphs,Medium,CAT
Q00136,Verbal Ability,Sentence Correction,Medium,"TCS NQT,CAT"
Q00137,Logical Reasoning,Cubes & Dice,Hard,"General,TCS NQT"
Q00138,Quantitative Aptitude,"Time, Speed & Distance",Medium,"General,Banking,TCS NQT"
Q00139,Quantitative Aptitude,Quadratic Equations,Easy,Placements
Q00140,Verbal Ability,Cloze Test,Medium,"CAT,General,Banking"
Q00141,Data Interpretation,Tables,Medium,General
Q00142,Quantitative Aptitude,Permutation & Combination,Hard,"CAT,TCS NQT"
Q00143,Quantitative Aptitude,Ratio & Proportion,Hard,Banking
Q00144,Quantitative Aptitude,Compound Interest,Medium,"General,TCS NQT"
Q00145,Data Interpretation,Venn-based DI,Medium,"SSC,Banking,TCS NQT"
Q00146,Logical Reasoning,Cubes & Dice,Medium,General
Q00147,Logical Reasoning,Analogy,Hard,"SSC,Placements"
Q00148,Quantitative Aptitude,Set Theory,Easy,"TCS NQT,Banking"
Q00149,Logical Reasoning,Statement & Assumption,Medium,"Banking,CAT"
Q00150,Data Interpretation,Caselets,Hard,SSC
Q00151,Verbal Ability,Fill in the Blanks,Medium,"TCS NQT,CAT"
Q00152,Verbal Ability,Synonyms & Antonyms,Easy,Placements
Q00153,Data Interpretation,Data Sufficiency (DI),Hard,"Placements,General,CAT"
Q00154,Data Interpretation,Data Sufficiency (DI),Hard,"SSC,TCS NQT"
Q00155,Quantitative Aptitude,Mensuration,Easy,"CAT,Placements"
Q00156,Data Interpretation,Data Sufficiency (DI),Easy,"TCS NQT,CAT"
Q00157,Logical Reasoning,Ranking & Order,Medium,"CAT,SSC"
Q00158,Logical Reasoning,Clocks & Calendars,Easy,"Banking,TCS NQT"
Q00159,Quantitative Aptitude,Pipes & Cisterns,Hard,"TCS NQT,General,Placements"
Q00160,Verbal Ability,Odd One Out,Hard,SSC
Q00161,Verbal Ability,Para Summary,Easy,"CAT,Banking"
Q00162,Data Interpretation,Mixed DI Sets,Medium,"General,Banking,Placements"
Q00163,Quantitative Aptitude,Mensuration,Medium,TCS NQT
Q00164,Quantitative Aptitude,Probability,Medium,Banking
Q00165,Logical Reasoning,Blood Relations,Medium,General
Q00166,Logical Reasoning,Input-Output,Medium,Banking
Q00167,Data Interpretation,Line Graphs,Medium,SSC
Q00168,Verbal Ability,Para Summary,Easy,"Placements,Banking"
Q00169,Quantitative Aptitude,Algebra,Easy,"Banking,SSC"
Q00170,Logical Reasoning,Input-Output,Medium,"CAT,Banking"
Q00171,Data Interpretation,Bar Graphs,Easy,"TCS NQT,CAT,SSC"
Q00172,Logical Reasoning,Statement & Assumption,Medium,"CAT,General,TCS NQT"
Q00173,Data Interpretation,Tables,Hard,CAT
Q00174,Logical Reasoning,Direction Sense,Hard,Placements
Q00175,Logical Reasoning,Analogy,Easy,"CAT,TCS NQT,Placements"
Q00176,Quantitative Aptitude,Mensuration,Easy,"SSC,General,Placements"
Q00177,Quantitative Aptitude,Logarithms,Easy,"General,CAT,Placements"
Q00178,Quantitative Aptitude,Mixtures & Alligations,Easy,TCS NQT
Q00179,Data Interpretation,Bar Graphs,Medium,"TCS NQT,Banking"
Q00180,Quantitative Aptitude,Quadratic Equations,Easy,"Placements,CAT,General"
Q00181,Quantitative Aptitude,Simple Interest,Easy,"SSC,TCS NQT,CAT"
Q00182,Quantitative Aptitude,Progressions (AP/GP),Medium,SSC
Q00183,Logical Reasoning,Input-Output,Medium,"SSC,CAT,General"
Q00184,Data Interpretation,Bar Graphs,Hard,"Banking,CAT"
Q00185,Quantitative Aptitude,Geometry,Easy,"General,Banking"
Q00186,Quantitative Aptitude,Partnership,Easy,Banking
Q00187,Logical Reasoning,Coding-Decoding,Medium,"TCS NQT,SSC,Banking"
Q00188,Logical Reasoning,Cubes & Dice,Medium,"General,TCS NQT"
Q00189,Quantitative Aptitude,Averages,Easy,"Placements,CAT"
Q00190,Logical Reasoning,Statement & Conclusion,Medium,"Placements,Banking"
Q00191,Quantitative Aptitude,Progressions (AP/GP),Medium,"General,Banking,SSC"
Q00192,Quantitative Aptitude,Number System,Medium,"SSC,Placements"
Q00193,Quantitative Aptitude,Trigonometry,Easy,SSC
Q00194,Quantitative Aptitude,Averages,Hard,"SSC,TCS NQT"
Q00195,Logical Reasoning,Statement & Conclusion,Medium,"CAT,TCS NQT,Placements"
Q00196,Quantitative Aptitude,Profit & Loss,Medium,General
Q00197,Logical Reasoning,Input-Output,Medium,"TCS NQT,Placements"
Q00198,Quantitative Aptitude,Partnership,Medium,"General,Banking"
Q00199,Verbal Ability,Odd One Out,Medium,CAT
Q00200,Quantitative Aptitude,Mixtures & Alligations,Easy,Banking
Q00201,Quantitative Aptitude,Partnership,Easy,SSC
Q00202,Quantitative Aptitude,Surds & Indices,Hard,"SSC,Banking,General"
Q00203,Quantitative Aptitude,Geometry,Medium,"TCS NQT,SSC,General"
Q00204,Quantitative Aptitude,Partnership,Medium,"SSC,General"
Q00205,Data Interpretation,Caselets,Hard,CAT
Q00206,Quantitative Aptitude,Pipes & Cisterns,Medium,SSC
Q00207,Data Interpretation,Pie Charts,Medium,"TCS NQT,Placements,General"
Q00208,Verbal Ability,Sentence Correction,Easy,"Banking,SSC,TCS NQT"
Q00209,Quantitative Aptitude,Simple Interest,Medium,SSC
Q00210,Quantitative Aptitude,Ratio & Proportion,Medium,"Placements,SSC"
Q00211,Quantitative Aptitude,Number System,Medium,"TCS NQT,Placements,SSC"
Q00212,Logical Reasoning,Syllogisms,Easy,TCS NQT
Q00213,Quantitative Aptitude,Mixtures & Alligations,Easy,"Placements,Banking,CAT"
Q00214,Quantitative Aptitude,Number System,Medium,"SSC,Banking,TCS NQT"
Q00215,Verbal Ability,Odd One Out,Medium,"Placements,CAT"
Q00216,Quantitative Aptitude,Averages,Hard,"CAT,General"
Q00217,Verbal Ability,Para Summary,Hard,"CAT,TCS NQT"
Q00218,Data Interpretation,Bar Graphs,Easy,Placements
Q00219,Quantitative Aptitude,Progressions (AP/GP),Medium,"CAT,Placements"
Q00220,Quantitative Aptitude,Simple Interest,Medium,"Banking,TCS NQT,Placements"
Q00221,Quantitative Aptitude,Permutation & Combination,Easy,"Banking,General"
Q00222,Verbal Ability,Critical Reasoning,Medium,"Banking,SSC,CAT"
Q00223,Logical Reasoning,Puzzles,Hard,General
Q00224,Logical Reasoning,Series Completion,Medium,"General,CAT"
Q00225,Logical Reasoning,Coding-Decoding,Easy,Placements
Q00226,Quantitative Aptitude,Probability,Hard,Placements
Q00227,Logical Reasoning,Blood Relations,Medium,"Banking,TCS NQT"
Q00228,Quantitative Aptitude,Trigonometry,Hard,"CAT,Placements"
Q00229,Verbal Ability,Critical Reasoning,Easy,"SSC,Banking,CAT"
Q00230,Verbal Ability,Cloze Test,Medium,SSC
Q00231,Data Interpretation,Tables,Medium,"CAT,TCS NQT"
Q00232,Quantitative Aptitude,Ratio & Proportion,Medium,"Placements,SSC,General"
Q00233,Quantitative Aptitude,Profit & Loss,Medium,Placements
Q00234,Quantitative Aptitude,Mixtures & Alligations,Hard,"General,TCS NQT,SSC"
Q00235,Quantitative Aptitude,Mensuration,Hard,Banking
Q00236,Verbal Ability,Error Spotting,Easy,"General,Banking"
Q00237,Quantitative Aptitude,Averages,Medium,"TCS NQT,Banking,General"
Q00238,Verbal Ability,Para Jumbles,Medium,"CAT,Banking,SSC"
Q00239,Quantitative Aptitude,Logarithms,Easy,"CAT,General"
Q00240,Logical Reasoning,Statement & Assumption,Hard,"TCS NQT,General,CAT"
Q00241,Quantitative Aptitude,Surds & Indices,Medium,"TCS NQT,CAT"
Q00242,Quantitative Aptitude,Time & Work,Hard,"TCS NQT,Banking"
Q00243,Data Interpretation,Caselets,Medium,TCS NQT
Q00244,Verbal Ability,Para Summary,Easy,"Banking,CAT,General"
Q00245,Logical Reasoning,Data Sufficiency,Medium,"SSC,General"
Q00246,Data Interpretation,Pie Charts,Hard,SSC
Q00247,Logical Reasoning,Input-Output,Easy,"Banking,SSC,General"
Q00248,Logical Reasoning,Syllogisms,Medium,"CAT,SSC"
Q00249,Quantitative Aptitude,Averages,Easy,"CAT,Banking"
Q00250,Logical Reasoning,Blood Relations,Hard,"TCS NQT,Banking,General"
Q00251,Quantitative Aptitude,Percentages,Easy,TCS NQT
Q00252,Quantitative Aptitude,Linear Equations,Medium,"Banking,General,CAT"
Q00253,Quantitative Aptitude,"Time, Speed & Distance",Easy,"TCS NQT,Placements"
Q00254,Data Interpretation,Caselets,Medium,"General,Banking"
Q00255,Logical Reasoning,Puzzles,Medium,General
Q00256,Quantitative Aptitude,Logarithms,Hard,General
Q00257,Logical Reasoning,Coding-Decoding,Medium,"TCS NQT,CAT"
Q00258,Quantitative Aptitude,Probability,Hard,"CAT,Placements"
Q00259,Quantitative Aptitude,Simple Interest,Easy,"CAT,Placements"
Q00260,Logical Reasoning,Analogy,Easy,"SSC,TCS NQT,General"
Q00261,Verbal Ability,Para Summary,Medium,"Banking,Placements"
Q00262,Logical Reasoning,Cubes & Dice,Medium,"Placements,Banking,General"
Q00263,Quantitative Aptitude,Logarithms,Easy,"General,Placements,CAT"
Q00264,Verbal Ability,Critical Reasoning,Medium,"SSC,TCS NQT"
Q00265,Quantitative Aptitude,Averages,Easy,SSC
Q00266,Quantitative Aptitude,Pipes & Cisterns,Easy,"TCS NQT,General"
Q00267,Quantitative Aptitude,Surds & Indices,Medium,"Placements,Banking"
Q00268,Verbal Ability,Idioms & Phrases,Easy,"SSC,General"
Q00269,Quantitative Aptitude,Probability,Easy,"Banking,General,SSC"
Q00270,Verbal Ability,Sentence Correction,Medium,"Placements,TCS NQT,Banking"
Q00271,Verbal Ability,Sentence Correction,Easy,"CAT,SSC"
Q00272,Quantitative Aptitude,Pipes & Cisterns,Easy,"General,Banking"
Q00273,Quantitative Aptitude,Quadratic Equations,Easy,"General,Placements,Banking"
Q00274,Logical Reasoning,Syllogisms,Hard,TCS NQT
Q00275,Verbal Ability,Verbal Analogies,Easy,"CAT,Banking"
Q00276,Logical Reasoning,Puzzles,Easy,"Banking,CAT,Placements"
Q00277,Verbal Ability,Para Summary,Medium,"Placements,CAT,Banking"
Q00278,Quantitative Aptitude,Averages,Hard,"TCS NQT,Banking"
Q00279,Verbal Ability,Cloze Test,Easy,SSC
Q00280,Data Interpretation,Venn-based DI,Medium,"SSC,Banking"
Q00281,Logical Reasoning,Syllogisms,Easy,"CAT,Placements,SSC"
Q00282,Verbal Ability,Sentence Correction,Easy,"CAT,Banking,General"
Q00283,Quantitative Aptitude,Set Theory,Hard,"CAT,Banking,Placements"
Q00284,Quantitative Aptitude,Partnership,Easy,"CAT,General"
Q00285,Quantitative Aptitude,Algebra,Hard,SSC
Q00286,Quantitative Aptitude,Linear Equations,Medium,"Banking,Placements"
Q00287,Verbal Ability,Sentence Correction,Hard,"Banking,TCS NQT,Placements"
Q00288,Verbal Ability,Synonyms & Antonyms,Medium,CAT
Q00289,Quantitative Aptitude,Logarithms,Hard,"TCS NQT,Placements"
Q00290,Logical Reasoning,Analogy,Easy,"Placements,General,Banking"
Q00291,Quantitative Aptitude,Set Theory,Medium,"Banking,SSC"
Q00292,Quantitative Aptitude,Surds & Indices,Medium,Banking
Q00293,Quantitative Aptitude,Mixtures & Alligations,Medium,"TCS NQT,Placements,CAT"
Q00294,Logical Reasoning,Cubes & Dice,Medium,"TCS NQT,SSC"
Q00295,Verbal Ability,Cloze Test,Hard,"General,SSC"
Q00296,Quantitative Aptitude,Mensuration,Easy,"Placements,Banking"
Q00297,Logical Reasoning,Analogy,Easy,Placements
Q00298,Quantitative Aptitude,Quadratic Equations,Medium,"SSC,TCS NQT,General"
Q00299,Quantitative Aptitude,Partnership,Easy,"CAT,Banking"
Q00300,Verbal Ability,Critical Reasoning,Medium,TCS NQT
Q00301,Quantitative Aptitude,Surds & Indices,Hard,"CAT,TCS NQT,Banking"
Q00302,Quantitative Aptitude,Mixtures & Alligations,Medium,TCS NQT
Q00303,Logical Reasoning,Data Sufficiency,Easy,General
Q00304,Quantitative Aptitude,"Time, Speed & Distance",Medium,"SSC,Placements,CAT"
Q00305,Data Interpretation,Bar Graphs,Medium,"Banking,CAT"
Q00306,Verbal Ability,Verbal Analogies,Hard,"General,Placements"
Q00307,Quantitative Aptitude,Profit & Loss,Medium,"SSC,Banking"
Q00308,Quantitative Aptitude,Time & Work,Medium,Placements
Q00309,Data Interpretation,Venn-based DI,Easy,"TCS NQT,General"
Q00310,Data Interpretation,Caselets,Hard,SSC
Q00311,Data Interpretation,Radar/Spider Charts,Medium,"General,SSC"
Q00312,Quantitative Aptitude,Simple Interest,Hard,"CAT,Placements"
Q00313,Quantitative Aptitude,Ratio & Proportion,Medium,"General,Banking,SSC"
Q00314,Quantitative Aptitude,Profit & Loss,Medium,"CAT,SSC"
Q00315,Quantitative Aptitude,Probability,Medium,Banking
Q00316,Logical Reasoning,Data Sufficiency,Medium,"General,SSC,Banking"
Q00317,Quantitative Aptitude,Set Theory,Medium,"CAT,Placements"
Q00318,Quantitative Aptitude,Trigonometry,Easy,TCS NQT
Q00319,Data Interpretation,Venn-based DI,Easy,"TCS NQT,Placements"
Q00320,Data Interpretation,Pie Charts,Medium,"Banking,SSC,General"
Q00321,Data Interpretation,Pie Charts,Medium,CAT
Q00322,Logical Reasoning,Syllogisms,Medium,"Banking,CAT"
Q00323,Data Interpretation,Pie Charts,Hard,TCS NQT
Q00324,Logical Reasoning,Direction Sense,Medium,"Banking,SSC"
Q00325,Quantitative Aptitude,Surds & Indices,Easy,"General,TCS NQT,Banking"
Q00326,Quantitative Aptitude,Progressions (AP/GP),Easy,"General,Placements,Banking"
Q00327,Quantitative Aptitude,Set Theory,Easy,Banking
Q00328,Logical Reasoning,Input-Output,Medium,"CAT,SSC"
Q00329,Quantitative Aptitude,"Time, Speed & Distance",Hard,"Banking,Placements"
Q00330,Data Interpretation,Mixed DI Sets,Medium,General
Q00331,Verbal Ability,Fill in the Blanks,Easy,"General,SSC,CAT"
Q00332,Verbal Ability,Para Summary,Medium,"Placements,CAT"
Q00333,Quantitative Aptitude,Mensuration,Easy,General
Q00334,Verbal Ability,Sentence Correction,Medium,"General,TCS NQT,CAT"
Q00335,Quantitative Aptitude,Percentages,Hard,"Placements,General"
Q00336,Verbal Ability,Verbal Analogies,Easy,CAT
Q00337,Verbal Ability,Idioms & Phrases,Easy,TCS NQT
Q00338,Logical Reasoning,Series Completion,Medium,SSC
Q00339,Quantitative Aptitude,Compound Interest,Hard,"CAT,SSC,Placements"
Q00340,Data Interpretation,Line Graphs,Hard,"SSC,Placements,CAT"
Q00341,Data Interpretation,Bar Graphs,Hard,CAT
Q00342,Quantitative Aptitude,Linear Equations,Medium,TCS NQT
Q00343,Logical Reasoning,Venn Diagrams,Easy,Placements
Q00344,Quantitative Aptitude,Averages,Easy,Placements
Q00345,Verbal Ability,Error Spotting,Easy,"TCS NQT,CAT"
Q00346,Logical Reasoning,Seating Arrangement,Medium,"Banking,SSC"
Q00347,Verbal Ability,Idioms & Phrases,Easy,"CAT,Banking,Placements"
Q00348,Quantitative Aptitude,Logarithms,Hard,General
Q00349,Verbal Ability,Cloze Test,Medium,"SSC,Banking,CAT"
Q00350,Verbal Ability,Reading Comprehension,Medium,"Banking,General"
Q00351,Verbal Ability,Cloze Test,Medium,Banking
Q00352,Quantitative Aptitude,Partnership,Medium,"CAT,General"
Q00353,Quantitative Aptitude,Algebra,Hard,"Placements,CAT,General"
Q00354,Quantitative Aptitude,Averages,Easy,"General,TCS NQT,SSC"
Q00355,Verbal Ability,Para Summary,Hard,"TCS NQT,SSC,Banking"
Q00356,Verbal Ability,Idioms & Phrases,Medium,"Banking,CAT,TCS NQT"
Q00357,Verbal Ability,Cloze Test,Easy,"TCS NQT,Placements,Banking"
Q00358,Data Interpretation,Radar/Spider Charts,Easy,Banking
Q00359,Verbal Ability,Fill in the Blanks,Hard,"Banking,General"
Q00360,Quantitative Aptitude,Pipes & Cisterns,Medium,SSC
Q00361,Quantitative Aptitude,Geometry,Medium,"General,SSC"
Q00362,Quantitative Aptitude,Linear Equations,Hard,General
Q00363,Data Interpretation,Radar/Spider Charts,Hard,CAT
Q00364,Verbal Ability,Para Jumbles,Easy,Banking
Q00365,Quantitative Aptitude,Simple Interest,Easy,"General,SSC,Placements"
Q00366,Verbal Ability,Idioms & Phrases,Medium,TCS NQT
Q00367,Quantitative Aptitude,Probability,Hard,"SSC,CAT,Banking"
Q00368,Quantitative Aptitude,Linear Equations,Medium,"Banking,CAT,SSC"
Q00369,Verbal Ability,Verbal Analogies,Easy,"SSC,CAT"
Q00370,Verbal Ability,Verbal Analogies,Easy,"Placements,General,Banking"
Q00371,Data Interpretation,Tables,Easy,SSC
Q00372,Logical Reasoning,Data Sufficiency,Medium,SSC
Q00373,Logical Reasoning,Statement & Assumption,Easy,"TCS NQT,General"
Q00374,Data Interpretation,Venn-based DI,Easy,TCS NQT
Q00375,Quantitative Aptitude,Surds & Indices,Easy,"SSC,CAT,Placements"
Q00376,Data Interpretation,Caselets,Medium,"SSC,General,TCS NQT"
Q00377,Data Interpretation,Bar Graphs,Easy,Placements
Q00378,Verbal Ability,Verbal Analogies,Hard,"Banking,CAT,Placements"
Q00379,Verbal Ability,Error Spotting,Medium,"CAT,General,Placements"
Q00380,Verbal Ability,Para Summary,Medium,"Banking,SSC"
Q00381,Quantitative Aptitude,Time & Work,Easy,"SSC,General"
Q00382,Quantitative Aptitude,Progressions (AP/GP),Medium,"CAT,General,Placements"
Q00383,Quantitative Aptitude,Time & Work,Medium,"CAT,General,SSC"
Q00384,Quantitative Aptitude,Mensuration,Medium,"Banking,General,TCS NQT"
Q00385,Quantitative Aptitude,Geometry,Easy,"Placements,TCS NQT"
Q00386,Verbal Ability,Para Jumbles,Easy,"Banking,CAT"
Q00387,Verbal Ability,Critical Reasoning,Hard,"General,TCS NQT,Banking"
Q00388,Quantitative Aptitude,Permutation & Combination,Hard,"SSC,CAT,Placements"
Q00389,Quantitative Aptitude,Quadratic Equations,Medium,"CAT,General,Placements"
Q00390,Logical Reasoning,Clocks & Calendars,Easy,Placements
