user_id,signup_date,target_exam,engagement_level,_skill_quant,_skill_lr,_skill_va,_skill_di
U00061,2025-06-10,Placements,medium,0.674,0.637,0.509,0.246
U00062,2026-05-27,CAT,medium,0.864,0.95,0.622,0.354
U00063,2025-09-01,SSC,low,0.427,0.61,0.891,0.531
U00064,2025-11-27,Placements,medium,0.553,0.274,0.569,0.67
U00065,2026-04-12,CAT,high,0.591,0.361,0.14,0.531
U00066,2026-04-14,CAT,low,0.95,0.783,0.18,0.95
U00067,2026-01-06,Banking,high,0.816,0.1,0.452,0.585
U00068,2025-07-19,Placements,high,0.762,0.673,0.5,0.723
U00069,2025-07-28,CAT,medium,0.419,0.603,0.288,0.736
U00070,2025-10-27,CAT,high,0.47,0.304,0.377,0.495
U00071,2025-09-19,CAT,high,0.386,0.68,0.5,0.718
U00072,2025-11-10,CAT,low,0.552,0.503,0.363,0.562
U00073,2026-02-13,Placements,low,0.548,0.451,0.899,0.606
U00074,2025-09-08,Placements,medium,0.709,0.55,0.538,0.537
U00075,2025-06-23,CAT,medium,0.716,0.552,0.531,0.391
U00076,2025-11-07,CAT,low,0.756,0.48,0.745,0.545
U00077,2025-06-04,CAT,high,0.594,0.258,0.412,0.468
U00078,2026-04-18,Banking,medium,0.698,0.601,0.584,0.633
U00079,2026-02-03,SSC,high,0.364,0.584,0.399,0.178
U00080,2026-02-01,Placements,low,0.612,0.641,0.751,0.376
U00081,2026-06-10,CAT,medium,0.631,0.771,0.452,0.68
U00082,2026-06-15,CAT,medium,0.148,0.824,0.354,0.58
U00083,2026-06-04,Placements,high,0.867,0.929,0.674,0.553
U00084,2025-12-05,CAT,low,0.684,0.188,0.499,0.445
U00085,2025-08-03,CAT,low,0.317,0.829,0.444,0.524
U00086,2025-09-22,CAT,high,0.625,0.494,0.659,0.833
U00087,2025-06-21,Banking,low,0.352,0.608,0.603,0.338
U00088,2026-01-06,Banking,medium,0.834,0.73,0.55,0.511
U00089,2025-07-10,Placements,high,0.598,0.538,0.765,0.779
U00090,2025-06-06,Banking,low,0.648,0.455,0.522,0.329
U00091,2026-04-01,Placements,low,0.95,0.451,0.735,0.825
U00092,2026-06-20,SSC,low,0.446,0.95,0.905,0.605
U00093,2025-08-18,CAT,medium,0.438,0.678,0.95,0.529
U00094,2025-08-11,Placements,low,0.497,0.73,0.735,0.715
U00095,2025-07-26,Banking,medium,0.476,0.679,0.764,0.722
U00096,2025-12-23,SSC,medium,0.743,0.782,0.468,0.301
U00097,2026-03-09,Placements,medium,0.416,0.588,0.501,0.203
U00098,2026-03-28,Placements,high,0.364,0.545,0.367,0.395
U00099,2026-01-20,CAT,high,0.912,0.476,0.701,0.694
U00100,2025-10-26,Banking,high,0.167,0.301,0.918,0.459
U00101,2025-11-21,SSC,low,0.167,0.427,0.681,0.381
U00102,2025-09-11,CAT,medium,0.399,0.455,0.215,0.761
U00103,2026-01-22,CAT,medium,0.416,0.744,0.328,0.409
U00104,2025-07-27,Placements,low,0.642,0.556,0.589,0.696
U00105,2025-10-23,Placements,high,0.597,0.459,0.75,0.485
U00106,2026-01-15,CAT,high,0.95,0.366,0.331,0.506
U00107,2025-10-01,CAT,medium,0.586,0.348,0.685,0.883
U00108,2025-08-19,CAT,high,0.155,0.484,0.606,0.525
U00109,2025-06-23,SSC,low,0.57,0.41,0.777,0.476
U00110,2025-10-24,CAT,medium,0.329,0.543,0.716,0.65
U00111,2025-10-04,CAT,high,0.537,0.242,0.657,0.525
U00112,2025-07-13,Placements,low,0.503,0.498,0.324,0.455
U00113,2026-04-09,Placements,medium,0.25,0.667,0.675,0.676
U00114,2025-08-04,CAT,medium,0.593,0.657,0.661,0.296
U00115,2026-01-14,Placements,low,0.256,0.1,0.676,0.811
U00116,2025-10-23,CAT,low,0.436,0.232,0.707,0.316
U00117,2025-10-06,Placements,low,0.471,0.607,0.609,0.569
U00118,2025-07-15,Banking,high,0.815,0.859,0.873,0.518
U00119,2025-08-31,Placements,low,0.433,0.473,0.554,0.547
U00120,2025-12-29,CAT,medium,0.704,0.48,0.578,0.549
U00121,2026-01-04,SSC,medium,0.504,0.475,0.53,0.35
U00122,2025-12-28,CAT,low,0.604,0.376,0.528,0.269
U00123,2025-11-27,Placements,high,0.927,0.656,0.378,0.376
U00124,2025-12-21,Placements,high,0.885,0.758,0.636,0.806
U00125,2025-06-23,CAT,low,0.563,0.555,0.332,0.822
U00126,2025-08-29,SSC,high,0.407,0.771,0.728,0.388
U00127,2025-09-22,Placements,medium,0.326,0.665,0.629,0.662
U00128,2025-09-12,Placements,medium,0.773,0.597,0.665,0.628
U00129,2025-12-23,Placements,high,0.475,0.649,0.926,0.376
U00130,2025-07-15,CAT,medium,0.429,0.419,0.335,0.379
U00131,2025-12-29,SSC,low,0.317,0.673,0.612,0.721
U00132,2025-11-30,CAT,high,0.672,0.699,0.351,0.593
U00133,2025-11-21,CAT,low,0.669,0.769,0.399,0.426
U00134,2026-02-17,CAT,medium,0.616,0.356,0.824,0.864
U00135,2025-06-12,SSC,low,0.528,0.584,0.414,0.578
U00136,2026-01-01,Placements,high,0.842,0.535,0.365,0.513
U00137,2026-06-26,CAT,medium,0.442,0.399,0.833,0.552
U00138,2025-08-14,SSC,medium,0.636,0.548,0.472,0.784
U00139,2025-10-07,Banking,low,0.729,0.822,0.616,0.829
U00140,2026-01-19,CAT,low,0.488,0.557,0.83,0.481
U00141,2025-11-14,CAT,medium,0.619,0.748,0.634,0.461
U00142,2025-11-17,CAT,medium,0.361,0.482,0.556,0.777
U00143,2025-11-21,SSC,low,0.768,0.808,0.464,0.479
U00144,2025-08-16,Banking,low,0.685,0.855,0.425,0.218
U00145,2026-01-02,Banking,low,0.667,0.796,0.573,0.95
U00146,2026-01-20,CAT,high,0.414,0.566,0.57,0.411
U00147,2025-08-11,Banking,low,0.752,0.598,0.364,0.66
U00148,2025-06-28,CAT,low,0.474,0.568,0.71,0.73
U00149,2026-05-12,Banking,high,0.715,0.559,0.375,0.493
U00150,2025-10-02,Placements,low,0.455,0.586,0.328,0.611
U00151,2025-12-25,CAT,low,0.702,0.427,0.802,0.413
U00152,2026-04-19,CAT,high,0.796,0.263,0.605,0.66
U00153,2026-01-29,CAT,medium,0.485,0.631,0.595,0.949
U00154,2026-06-18,CAT,high,0.474,0.572,0.526,0.487
U00155,2025-06-30,CAT,low,0.483,0.546,0.583,0.42
U00156,2025-08-13,Placements,high,0.639,0.622,0.526,0.353
U00157,2026-01-19,Placements,high,0.551,0.364,0.53,0.692
U00158,2026-06-06,Placements,medium,0.603,0.689,0.679,0.803
U00159,2025-11-08,CAT,medium,0.555,0.694,0.58,0.549
U00160,2025-07-28,SSC,high,0.481,0.644,0.95,0.546
U00161,2025-06-04,Banking,high,0.434,0.448,0.484,0.789
U00162,2025-06-04,CAT,medium,0.484,0.605,0.533,0.314
U00163,2025-11-30,Placements,medium,0.582,0.638,0.398,0.452
U00164,2026-06-19,Placements,medium,0.279,0.667,0.493,0.588
U00165,2026-05-17,Placements,medium,0.647,0.463,0.831,0.772
U00166,2026-01-10,Banking,low,0.384,0.823,0.707,0.513
U00167,2026-03-09,CAT,low,0.687,0.581,0.622,0.717
U00168,2026-02-05,Placements,medium,0.554,0.624,0.638,0.264
U00169,2025-06-22,CAT,low,0.666,0.84,0.271,0.712
U00170,2026-01-05,Placements,medium,0.232,0.719,0.373,0.313
U00171,2026-03-24,Banking,low,0.653,0.628,0.95,0.68
U00172,2025-06-02,Placements,low,0.831,0.459,0.386,0.512
U00173,2025-11-11,SSC,low,0.392,0.388,0.587,0.651
U00174,2026-01-23,CAT,high,0.666,0.27,0.4,0.718
U00175,2025-07-09,CAT,high,0.474,0.586,0.95,0.144
U00176,2026-07-01,CAT,low,0.373,0.526,0.334,0.654
U00177,2025-07-07,Banking,low,0.429,0.472,0.711,0.65
U00178,2025-08-31,CAT,high,0.725,0.866,0.563,0.931
U00179,2025-07-13,Placements,medium,0.545,0.701,0.473,0.791
U00180,2026-05-24,SSC,medium,0.578,0.38,0.717,0.701
U00181,2026-02-23,CAT,low,0.622,0.508,0.766,0.456
U00182,2025-07-17,CAT,low,0.785,0.338,0.51,0.534
U00183,2025-12-14,CAT,medium,0.462,0.454,0.466,0.808
U00184,2026-01-19,Banking,medium,0.688,0.533,0.407,0.261
U00185,2026-05-19,Placements,low,0.278,0.641,0.547,0.813
U00186,2026-04-03,Placements,high,0.434,0.688,0.518,0.649
U00187,2025-09-12,Placements,medium,0.589,0.603,0.354,0.564
U00188,2025-09-01,Banking,low,0.532,0.211,0.826,0.304
U00189,2025-10-02,CAT,medium,0.603,0.612,0.669,0.677
U00190,2025-12-04,Placements,medium,0.4,0.508,0.351,0.488
U00191,2025-09-05,CAT,high,0.246,0.768,0.57,0.888
U00192,2026-03-22,CAT,low,0.75,0.768,0.525,0.638
U00193,2025-09-26,CAT,low,0.553,0.237,0.459,0.693
U00194,2026-06-25,CAT,low,0.481,0.685,0.615,0.509
U00195,2026-05-23,Placements,high,0.553,0.704,0.785,0.465
U00196,2025-09-27,Placements,high,0.644,0.297,0.389,0.395
U00197,2025-06-09,CAT,medium,0.889,0.535,0.669,0.754
U00198,2026-04-19,Placements,low,0.416,0.289,0.437,0.58
U00199,2025-12-07,CAT,high,0.331,0.95,0.511,0.874
U00200,2025-10-18,CAT,low,0.524,0.551,0.69,0.478
U00201,2026-02-27,CAT,medium,0.404,0.565,0.209,0.605
U00202,2025-10-23,Placements,medium,0.432,0.904,0.815,0.627
U00203,2026-06-11,CAT,medium,0.368,0.312,0.631,0.464
U00204,2026-03-26,CAT,low,0.813,0.669,0.46,0.165
U00205,2026-05-25,Placements,medium,0.388,0.2,0.888,0.353
U00206,2025-11-11,CAT,high,0.556,0.528,0.606,0.628
U00207,2025-07-12,CAT,low,0.588,0.279,0.265,0.419
U00208,2026-01-01,Banking,medium,0.458,0.485,0.591,0.5
U00209,2025-11-17,CAT,high,0.678,0.404,0.304,0.582
U00210,2026-01-29,CAT,medium,0.373,0.333,0.436,0.644
U00211,2025-06-29,CAT,medium,0.461,0.733,0.637,0.276
U00212,2026-01-13,SSC,high,0.745,0.455,0.381,0.535
U00213,2026-03-25,Placements,high,0.665,0.577,0.527,0.553
U00214,2025-10-30,CAT,medium,0.289,0.552,0.738,0.346
U00215,2025-09-05,Placements,medium,0.459,0.735,0.811,0.614
U00216,2025-08-14,Placements,medium,0.304,0.24,0.204,0.397
U00217,2025-07-26,CAT,low,0.731,0.714,0.708,0.378
U00218,2026-05-28,Placements,low,0.619,0.418,0.658,0.558
U00219,2026-02-26,CAT,medium,0.709,0.95,0.544,0.351
U00220,2025-09-25,CAT,low,0.742,0.637,0.591,0.619
U00221,2025-06-17,Placements,medium,0.728,0.62,0.291,0.61
U00222,2025-08-15,CAT,high,0.572,0.368,0.624,0.696
U00223,2025-10-17,CAT,low,0.5,0.707,0.533,0.761
U00224,2025-08-30,CAT,low,0.408,0.573,0.523,0.602
U00225,2025-12-20,CAT,low,0.779,0.617,0.662,0.504
U00226,2026-05-16,Placements,low,0.217,0.736,0.583,0.418
U00227,2025-10-14,Placements,medium,0.82,0.671,0.343,0.319
U00228,2025-12-29,Banking,low,0.643,0.524,0.433,0.642
U00229,2026-06-19,CAT,low,0.657,0.776,0.682,0.399
U00230,2026-02-26,SSC,high,0.38,0.228,0.95,0.449
U00231,2025-11-19,Placements,low,0.527,0.59,0.57,0.1
U00232,2026-04-18,Banking,low,0.52,0.869,0.512,0.844
U00233,2026-05-17,Placements,low,0.576,0.557,0.553,0.445
U00234,2025-11-17,CAT,low,0.305,0.651,0.567,0.85
U00235,2026-06-14,Placements,low,0.608,0.564,0.472,0.661
U00236,2025-07-27,Placements,low,0.466,0.747,0.374,0.519
U00237,2026-03-21,Placements,low,0.532,0.526,0.492,0.274
U00238,2025-06-13,Placements,low,0.742,0.625,0.41,0.479
U00239,2025-08-13,Placements,low,0.277,0.603,0.645,0.683
U00240,2026-06-05,Placements,low,0.691,0.344,0.614,0.422
U00241,2025-06-18,Placements,low,0.648,0.408,0.637,0.617
U00242,2025-11-03,CAT,low,0.619,0.559,0.34,0.818
U00243,2025-07-06,CAT,high,0.799,0.39,0.541,0.581
U00244,2026-07-02,CAT,medium,0.445,0.538,0.574,0.796
U00245,2026-05-01,Placements,high,0.766,0.419,0.95,0.506
U00246,2025-07-04,Placements,low,0.703,0.519,0.189,0.668
U00247,2025-11-13,CAT,high,0.386,0.689,0.685,0.585
U00248,2026-05-30,CAT,high,0.713,0.462,0.797,0.579
U00249,2025-11-04,CAT,high,0.43,0.171,0.325,0.808
U00250,2026-03-06,Banking,low,0.714,0.603,0.5,0.471
U00251,2026-02-14,CAT,medium,0.581,0.522,0.638,0.535
U00252,2025-06-17,CAT,low,0.583,0.553,0.578,0.904
U00253,2026-07-04,CAT,low,0.244,0.567,0.202,0.59
U00254,2025-11-09,Placements,medium,0.635,0.603,0.839,0.66
U00255,2025-07-21,Placements,high,0.717,0.719,0.788,0.138
U00256,2025-06-26,Placements,high,0.766,0.658,0.561,0.367
U00257,2026-04-07,CAT,low,0.691,0.264,0.603,0.285
U00258,2025-09-22,Placements,low,0.29,0.876,0.301,0.435
U00259,2025-09-06,Placements,low,0.691,0.424,0.366,0.716
U00260,2025-10-24,CAT,high,0.31,0.631,0.554,0.56
U00261,2025-12-18,CAT,medium,0.54,0.573,0.14,0.393
U00262,2026-07-02,CAT,medium,0.579,0.552,0.884,0.186
U00263,2025-12-04,SSC,high,0.414,0.454,0.46,0.82
U00264,2026-06-06,Placements,medium,0.416,0.57,0.714,0.753
U00265,2025-10-05,CAT,high,0.524,0.616,0.455,0.825
U00266,2025-09-23,CAT,high,0.597,0.444,0.462,0.705
U00267,2025-12-31,CAT,low,0.68,0.565,0.48,0.722
U00268,2025-09-12,CAT,high,0.95,0.618,0.535,0.47
U00269,2026-06-27,CAT,medium,0.699,0.433,0.491,0.313
U00270,2025-09-30,Placements,low,0.273,0.567,0.1,0.95
U00271,2025-06-04,Banking,low,0.39,0.637,0.778,0.598
U00272,2025-11-09,Placements,medium,0.313,0.464,0.569,0.545
U00273,2026-02-02,CAT,medium,0.292,0.657,0.703,0.593
U00274,2026-05-29,Placements,medium,0.798,0.1,0.719,0.655
U00275,2026-07-01,Banking,medium,0.646,0.661,0.463,0.687
U00276,2025-12-06,Placements,high,0.764,0.527,0.431,0.332
U00277,2026-05-25,Placements,low,0.48,0.67,0.548,0.254
U00278,2025-11-02,CAT,high,0.368,0.473,0.493,0.731
U00279,2025-09-08,SSC,high,0.554,0.297,0.767,0.619
U00280,2026-01-25,Placements,high,0.546,0.453,0.612,0.662
U00281,2026-05-25,Placements,low,0.568,0.371,0.437,0.797
U00282,2025-06-28,Placements,medium,0.33,0.309,0.698,0.606
U00283,2025-06-02,Placements,low,0.665,0.908,0.376,0.28
U00284,2026-03-23,Banking,medium,0.604,0.77,0.687,0.823
U00285,2026-03-04,CAT,low,0.411,0.85,0.631,0.641
U00286,2025-10-23,CAT,high,0.623,0.865,0.835,0.615
U00287,2025-08-01,CAT,low,0.776,0.588,0.48,0.672
U00288,2025-12-25,CAT,low,0.54,0.67,0.51,0.543
U00289,2026-06-30,Placements,high,0.829,0.882,0.495,0.406
U00290,2025-10-13,CAT,medium,0.535,0.32,0.522,0.623
U00291,2025-09-28,Placements,low,0.469,0.438,0.505,0.38
U00292,2026-01-17,CAT,high,0.609,0.4,0.698,0.757
U00293,2026-01-16,CAT,medium,0.347,0.315,0.454,0.478
U00294,2025-06-17,SSC,high,0.626,0.625,0.391,0.505
U00295,2026-04-24,Placements,high,0.548,0.618,0.292,0.443
U00296,2026-04-28,CAT,medium,0.552,0.471,0.298,0.42
U00297,2025-08-15,CAT,low,0.492,0.538,0.374,0.592
U00298,2025-07-20,Placements,low,0.389,0.461,0.298,0.618
U00299,2026-01-23,Placements,high,0.709,0.709,0.1,0.351
U00300,2025-06-06,CAT,low,0.629,0.384,0.842,0.424
U00301,2026-06-18,CAT,low,0.518,0.713,0.388,0.588
U00302,2025-10-17,CAT,high,0.587,0.544,0.608,0.713
U00303,2026-01-12,Placements,medium,0.352,0.47,0.352,0.649
U00304,2025-07-02,SSC,low,0.601,0.281,0.554,0.249
U00305,2025-07-27,Placements,low,0.855,0.541,0.534,0.894
U00306,2025-09-03,Placements,high,0.472,0.9,0.389,0.471
U00307,2025-11-22,CAT,low,0.828,0.411,0.533,0.793
U00308,2026-05-27,CAT,high,0.218,0.351,0.391,0.485
U00309,2026-05-25,CAT,low,0.614,0.542,0.328,0.795
U00310,2026-04-15,Banking,medium,0.352,0.875,0.577,0.738
U00311,2025-08-26,Placements,high,0.542,0.502,0.605,0.5
U00312,2026-03-10,Placements,high,0.246,0.536,0.946,0.48
U00313,2026-05-15,CAT,medium,0.732,0.707,0.291,0.603
U00314,2025-09-23,Placements,low,0.1,0.258,0.509,0.486
U00315,2025-09-17,CAT,low,0.673,0.399,0.453,0.729
U00316,2026-04-18,SSC,medium,0.286,0.708,0.381,0.783
U00317,2026-03-17,Banking,medium,0.625,0.515,0.629,0.199
U00318,2026-06-17,Placements,low,0.58,0.446,0.519,0.838
U00319,2026-01-27,CAT,low,0.673,0.606,0.83,0.187
U00320,2025-07-18,CAT,low,0.772,0.317,0.609,0.315
U00321,2026-01-16,CAT,high,0.46,0.371,0.549,0.915
U00322,2026-04-25,CAT,medium,0.293,0.345,0.657,0.522
U00323,2026-03-04,CAT,low,0.278,0.462,0.375,0.606
U00324,2025-12-09,SSC,high,0.666,0.1,0.569,0.135
U00325,2025-12-12,Placements,low,0.487,0.596,0.683,0.689
U00326,2026-02-26,CAT,medium,0.7,0.628,0.414,0.666
U00327,2025-07-26,Placements,high,0.584,0.249,0.359,0.421
U00328,2026-01-19,Banking,low,0.352,0.52,0.383,0.706
U00329,2025-12-11,CAT,high,0.384,0.562,0.499,0.558
U00330,2026-04-06,Banking,high,0.506,0.859,0.704,0.395
U00331,2026-01-14,CAT,high,0.2,0.485,0.345,0.239
U00332,2025-12-09,CAT,low,0.665,0.548,0.752,0.537
U00333,2025-06-19,Banking,low,0.511,0.321,0.437,0.227
U00334,2025-11-29,Banking,medium,0.737,0.313,0.59,0.506
U00335,2026-04-06,Banking,medium,0.312,0.49,0.778,0.402
U00336,2025-07-19,Placements,low,0.575,0.417,0.599,0.458
U00337,2026-02-08,Placements,low,0.605,0.555,0.609,0.679
U00338,2026-06-14,CAT,low,0.589,0.724,0.505,0.809
U00339,2025-09-30,CAT,medium,0.632,0.452,0.454,0.597
U00340,2026-05-19,SSC,medium,0.569,0.896,0.675,0.489
U00341,2026-07-02,SSC,low,0.659,0.647,0.55,0.42
U00342,2026-03-16,Placements,medium,0.597,0.626,0.195,0.611
U00343,2025-10-01,Placements,medium,0.728,0.684,0.254,0.64
U00344,2025-06-16,CAT,medium,0.287,0.63,0.489,0.792
U00345,2026-06-26,CAT,low,0.626,0.396,0.272,0.498
U00346,2026-05-26,Placements,low,0.379,0.728,0.409,0.654
U00347,2025-07-06,Placements,medium,0.325,0.707,0.496,0.471
U00348,2025-06-30,Placements,low,0.6,0.26,0.536,0.391
U00349,2026-05-18,CAT,low,0.784,0.431,0.454,0.826
U00350,2025-11-25,CAT,medium,0.748,0.553,0.566,0.604
U00351,2026-06-05,Placements,low,0.756,0.281,0.403,0.389
U00352,2025-12-03,CAT,medium,0.779,0.644,0.547,0.392
U00353,2026-03-29,SSC,high,0.505,0.526,0.51,0.702
U00354,2025-07-13,CAT,high,0.753,0.383,0.433,0.442
U00355,2026-07-02,Placements,medium,0.303,0.362,0.488,0.646
U00356,2025-12-11,CAT,medium,0.42,0.686,0.53,0.419
U00357,2026-04-07,CAT,medium,0.502,0.703,0.733,0.337
U00358,2026-06-29,Placements,medium,0.454,0.686,0.407,0.623
U00359,2026-03-08,Placements,medium,0.488,0.314,0.565,0.73
U00360,2025-09-05,CAT,high,0.503,0.478,0.638,0.209
U00361,2025-10-05,CAT,low,0.517,0.551,0.526,0.894
U00362,2026-06-03,Placements,low,0.394,0.567,0.776,0.669
U00363,2026-04-30,Placements,low,0.664,0.417,0.528,0.703
U00364,2025-07-08,CAT,medium,0.484,0.572,0.673,0.39
U00365,2026-02-05,CAT,medium,0.648,0.587,0.524,0.417
U00366,2026-03-29,Placements,medium,0.445,0.465,0.673,0.58
U00367,2025-09-17,Banking,low,0.618,0.477,0.19,0.585
U00368,2025-12-10,Banking,medium,0.674,0.601,0.416,0.446
U00369,2025-10-26,Placements,low,0.127,0.447,0.511,0.327
U00370,2026-04-26,SSC,low,0.527,0.461,0.585,0.499
U00371,2026-02-11,CAT,medium,0.702,0.562,0.511,0.613
U00372,2025-06-15,CAT,high,0.55,0.351,0.674,0.438
U00373,2026-02-21,CAT,high,0.488,0.278,0.698,0.572
U00374,2026-04-05,Placements,low,0.698,0.423,0.552,0.535
U00375,2026-06-01,CAT,low,0.807,0.733,0.63,0.794
U00376,2025-10-10,SSC,medium,0.474,0.619,0.302,0.706
U00377,2026-06-06,CAT,low,0.639,0.901,0.582,0.668
U00378,2025-11-01,Placements,high,0.358,0.382,0.544,0.549
U00379,2025-06-23,Placements,medium,0.416,0.701,0.627,0.835
U00380,2025-12-15,Banking,medium,0.937,0.535,0.602,0.628
U00381,2025-11-27,Banking,low,0.95,0.447,0.818,0.287
U00382,2026-05-27,CAT,medium,0.383,0.256,0.569,0.389
U00383,2026-06-03,Placements,low,0.562,0.598,0.666,0.765
U00384,2026-04-19,CAT,medium,0.625,0.832,0.305,0.622
U00385,2025-10-30,Placements,medium,0.61,0.647,0.875,0.693
U00386,2025-11-29,CAT,high,0.566,0.735,0.565,0.553
U00387,2025-08-16,Placements,high,0.533,0.475,0.523,0.605
U00388,2026-06-14,CAT,medium,0.662,0.95,0.311,0.656
U00389,2025-11-19,Placements,low,0.673,0.484,0.457,0.418
U00390,2026-03-20,CAT,medium,0.534,0.527,0.686,0.29
U00391,2025-09-12,Placements,low,0.606,0.95,0.772,0.46
U00392,2025-12-06,CAT,high,0.445,0.221,0.639,0.314
U00393,2026-01-26,Placements,medium,0.802,0.505,0.421,0.791
U00394,2025-06-11,Placements,medium,0.425,0.313,0.751,0.539
U00395,2026-05-06,Placements,low,0.75,0.803,0.506,0.606
U00396,2026-02-10,CAT,high,0.607,0.453,0.593,0.579
U00397,2025-12-13,SSC,low,0.716,0.591,0.605,0.55
U00398,2025-12-06,SSC,high,0.739,0.881,0.685,0.64
U00399,2025-06-04,CAT,high,0.479,0.439,0.515,0.872
U00400,2026-03-23,Placements,low,0.375,0.575,0.68,0.689
U00401,2025-10-12,CAT,low,0.661,0.45,0.664,0.808
U00402,2025-12-18,CAT,medium,0.185,0.694,0.933,0.326
U00403,2025-09-01,Placements,low,0.691,0.441,0.506,0.649
U00404,2025-06-07,SSC,low,0.644,0.505,0.633,0.485
U00405,2026-01-27,CAT,medium,0.747,0.293,0.667,0.615
U00406,2026-03-03,CAT,high,0.729,0.477,0.637,0.598
U00407,2026-04-28,CAT,medium,0.95,0.64,0.569,0.747
U00408,2025-11-12,Placements,high,0.442,0.627,0.438,0.95
U00409,2026-01-04,Placements,medium,0.52,0.64,0.225,0.737
U00410,2025-08-15,Placements,low,0.224,0.817,0.794,0.692
U00411,2026-05-01,CAT,medium,0.517,0.5,0.79,0.492
U00412,2026-06-05,CAT,low,0.578,0.549,0.609,0.531
U00413,2025-09-02,CAT,low,0.552,0.872,0.644,0.619
U00414,2026-01-17,Placements,medium,0.733,0.605,0.439,0.533
U00415,2025-07-27,Banking,medium,0.746,0.415,0.347,0.413
U00416,2026-03-25,CAT,low,0.49,0.336,0.306,0.32
U00417,2026-05-05,CAT,low,0.481,0.789,0.339,0.604
