question_id,section,subtopic,difficulty_tag,exam_tags,_true_correct_prob
Q00255,Logical Reasoning,Puzzles,Medium,General,0.537
Q00256,Quantitative Aptitude,Logarithms,Hard,General,0.245
Q00257,Logical Reasoning,Coding-Decoding,Medium,"TCS NQT,CAT",0.551
Q00258,Quantitative Aptitude,Probability,Hard,"CAT,Placements",0.299
Q00259,Quantitative Aptitude,Simple Interest,Easy,"CAT,Placements",0.798
Q00260,Logical Reasoning,Analogy,Easy,"SSC,TCS NQT,General",0.773
Q00261,Verbal Ability,Para Summary,Medium,"Banking,Placements",0.417
Q00262,Logical Reasoning,Cubes & Dice,Medium,"Placements,Banking,General",0.605
Q00263,Quantitative Aptitude,Logarithms,Easy,"General,Placements,CAT",0.73
Q00264,Verbal Ability,Critical Reasoning,Medium,"SSC,TCS NQT",0.511
Q00265,Quantitative Aptitude,Averages,Easy,SSC,0.847
Q00266,Quantitative Aptitude,Pipes & Cisterns,Easy,"TCS NQT,General",0.864
Q00267,Quantitative Aptitude,Surds & Indices,Medium,"Placements,Banking",0.524
Q00268,Verbal Ability,Idioms & Phrases,Easy,"SSC,General",0.824
Q00269,Quantitative Aptitude,Probability,Easy,"Banking,General,SSC",0.836
Q00270,Verbal Ability,Sentence Correction,Medium,"Placements,TCS NQT,Banking",0.572
Q00271,Verbal Ability,Sentence Correction,Easy,"CAT,SSC",0.83
Q00272,Quantitative Aptitude,Pipes & Cisterns,Easy,"General,Banking",0.785
Q00273,Quantitative Aptitude,Quadratic Equations,Easy,"General,Placements,Banking",0.816
Q00274,Logical Reasoning,Syllogisms,Hard,TCS NQT,0.237
Q00275,Verbal Ability,Verbal Analogies,Easy,"CAT,Banking",0.765
Q00276,Logical Reasoning,Puzzles,Easy,"Banking,CAT,Placements",0.73
Q00277,Verbal Ability,Para Summary,Medium,"Placements,CAT,Banking",0.446
Q00278,Quantitative Aptitude,Averages,Hard,"TCS NQT,Banking",0.385
Q00279,Verbal Ability,Cloze Test,Easy,SSC,0.798
Q00280,Data Interpretation,Venn-based DI,Medium,"SSC,Banking",0.605
Q00281,Logical Reasoning,Syllogisms,Easy,"CAT,Placements,SSC",0.815
Q00282,Verbal Ability,Sentence Correction,Easy,"CAT,Banking,General",0.714
Q00283,Quantitative Aptitude,Set Theory,Hard,"CAT,Banking,Placements",0.301
Q00284,Quantitative Aptitude,Partnership,Easy,"CAT,General",0.817
Q00285,Quantitative Aptitude,Algebra,Hard,SSC,0.31
Q00286,Quantitative Aptitude,Linear Equations,Medium,"Banking,Placements",0.501
Q00287,Verbal Ability,Sentence Correction,Hard,"Banking,TCS NQT,Placements",0.313
Q00288,Verbal Ability,Synonyms & Antonyms,Medium,CAT,0.599
Q00289,Quantitative Aptitude,Logarithms,Hard,"TCS NQT,Placements",0.208
Q00290,Logical Reasoning,Analogy,Easy,"Placements,General,Banking",0.736
Q00291,Quantitative Aptitude,Set Theory,Medium,"Banking,SSC",0.559
Q00292,Quantitative Aptitude,Surds & Indices,Medium,Banking,0.512
Q00293,Quantitative Aptitude,Mixtures & Alligations,Medium,"TCS NQT,Placements,CAT",0.501
Q00294,Logical Reasoning,Cubes & Dice,Medium,"TCS NQT,SSC",0.603
Q00295,Verbal Ability,Cloze Test,Hard,"General,SSC",0.257
Q00296,Quantitative Aptitude,Mensuration,Easy,"Placements,Banking",0.835
Q00297,Logical Reasoning,Analogy,Easy,Placements,0.928
Q00298,Quantitative Aptitude,Quadratic Equations,Medium,"SSC,TCS NQT,General",0.545
Q00299,Quantitative Aptitude,Partnership,Easy,"CAT,Banking",0.798
Q00300,Verbal Ability,Critical Reasoning,Medium,TCS NQT,0.639
Q00301,Quantitative Aptitude,Surds & Indices,Hard,"CAT,TCS NQT,Banking",0.332
Q00302,Quantitative Aptitude,Mixtures & Alligations,Medium,TCS NQT,0.599
Q00303,Logical Reasoning,Data Sufficiency,Easy,General,0.796
Q00304,Quantitative Aptitude,"Time, Speed & Distance",Medium,"SSC,Placements,CAT",0.581
Q00305,Data Interpretation,Bar Graphs,Medium,"Banking,CAT",0.578
Q00306,Verbal Ability,Verbal Analogies,Hard,"General,Placements",0.354
Q00307,Quantitative Aptitude,Profit & Loss,Medium,"SSC,Banking",0.571
Q00308,Quantitative Aptitude,Time & Work,Medium,Placements,0.56
Q00309,Data Interpretation,Venn-based DI,Easy,"TCS NQT,General",0.746
Q00310,Data Interpretation,Caselets,Hard,SSC,0.353
Q00311,Data Interpretation,Radar/Spider Charts,Medium,"General,SSC",0.551
Q00312,Quantitative Aptitude,Simple Interest,Hard,"CAT,Placements",0.301
Q00313,Quantitative Aptitude,Ratio & Proportion,Medium,"General,Banking,SSC",0.528
Q00314,Quantitative Aptitude,Profit & Loss,Medium,"CAT,SSC",0.535
Q00315,Quantitative Aptitude,Probability,Medium,Banking,0.541
Q00316,Logical Reasoning,Data Sufficiency,Medium,"General,SSC,Banking",0.528
Q00317,Quantitative Aptitude,Set Theory,Medium,"CAT,Placements",0.563
Q00318,Quantitative Aptitude,Trigonometry,Easy,TCS NQT,0.844
Q00319,Data Interpretation,Venn-based DI,Easy,"TCS NQT,Placements",0.804
Q00320,Data Interpretation,Pie Charts,Medium,"Banking,SSC,General",0.603
Q00321,Data Interpretation,Pie Charts,Medium,CAT,0.524
Q00322,Logical Reasoning,Syllogisms,Medium,"Banking,CAT",0.62
Q00323,Data Interpretation,Pie Charts,Hard,TCS NQT,0.278
Q00324,Logical Reasoning,Direction Sense,Medium,"Banking,SSC",0.623
Q00325,Quantitative Aptitude,Surds & Indices,Easy,"General,TCS NQT,Banking",0.733
Q00326,Quantitative Aptitude,Progressions (AP/GP),Easy,"General,Placements,Banking",0.754
Q00327,Quantitative Aptitude,Set Theory,Easy,Banking,0.798
Q00328,Logical Reasoning,Input-Output,Medium,"CAT,SSC",0.562
Q00329,Quantitative Aptitude,"Time, Speed & Distance",Hard,"Banking,Placements",0.349
Q00330,Data Interpretation,Mixed DI Sets,Medium,General,0.539
Q00331,Verbal Ability,Fill in the Blanks,Easy,"General,SSC,CAT",0.808
Q00332,Verbal Ability,Para Summary,Medium,"Placements,CAT",0.575
Q00333,Quantitative Aptitude,Mensuration,Easy,General,0.769
Q00334,Verbal Ability,Sentence Correction,Medium,"General,TCS NQT,CAT",0.522
Q00335,Quantitative Aptitude,Percentages,Hard,"Placements,General",0.371
Q00336,Verbal Ability,Verbal Analogies,Easy,CAT,0.771
Q00337,Verbal Ability,Idioms & Phrases,Easy,TCS NQT,0.81
Q00338,Logical Reasoning,Series Completion,Medium,SSC,0.474
Q00339,Quantitative Aptitude,Compound Interest,Hard,"CAT,SSC,Placements",0.269
Q00340,Data Interpretation,Line Graphs,Hard,"SSC,Placements,CAT",0.281
Q00341,Data Interpretation,Bar Graphs,Hard,CAT,0.333
Q00342,Quantitative Aptitude,Linear Equations,Medium,TCS NQT,0.651
Q00343,Logical Reasoning,Venn Diagrams,Easy,Placements,0.798
Q00344,Quantitative Aptitude,Averages,Easy,Placements,0.89
Q00345,Verbal Ability,Error Spotting,Easy,"TCS NQT,CAT",0.799
Q00346,Logical Reasoning,Seating Arrangement,Medium,"Banking,SSC",0.609
Q00347,Verbal Ability,Idioms & Phrases,Easy,"CAT,Banking,Placements",0.834
Q00348,Quantitative Aptitude,Logarithms,Hard,General,0.392
Q00349,Verbal Ability,Cloze Test,Medium,"SSC,Banking,CAT",0.591
Q00350,Verbal Ability,Reading Comprehension,Medium,"Banking,General",0.575
Q00351,Verbal Ability,Cloze Test,Medium,Banking,0.542
Q00352,Quantitative Aptitude,Partnership,Medium,"CAT,General",0.557
Q00353,Quantitative Aptitude,Algebra,Hard,"Placements,CAT,General",0.301
Q00354,Quantitative Aptitude,Averages,Easy,"General,TCS NQT,SSC",0.864
Q00355,Verbal Ability,Para Summary,Hard,"TCS NQT,SSC,Banking",0.232
Q00356,Verbal Ability,Idioms & Phrases,Medium,"Banking,CAT,TCS NQT",0.587
Q00357,Verbal Ability,Cloze Test,Easy,"TCS NQT,Placements,Banking",0.812
