user_id,signup_date,target_exam,engagement_level,account_age_days
U00312,2026-03-10,Placements,high,141
U00313,2026-05-15,CAT,medium,75
U00314,2025-09-23,Placements,low,309
U00315,2025-09-17,CAT,low,315
U00316,2026-04-18,SSC,medium,102
U00317,2026-03-17,Banking,medium,134
U00318,2026-06-17,Placements,low,42
U00319,2026-01-27,CAT,low,183
U00320,2025-07-18,CAT,low,376
U00321,2026-01-16,CAT,high,194
U00322,2026-04-25,CAT,medium,95
U00323,2026-03-04,CAT,low,147
U00324,2025-12-09,SSC,high,232
U00325,2025-12-12,Placements,low,229
U00326,2026-02-26,CAT,medium,153
U00327,2025-07-26,Placements,high,368
U00328,2026-01-19,Banking,low,191
U00329,2025-12-11,CAT,high,230
U00330,2026-04-06,Banking,high,114
U00331,2026-01-14,CAT,high,196
U00332,2025-12-09,CAT,low,232
U00333,2025-06-19,Banking,low,405
U00334,2025-11-29,Banking,medium,242
U00335,2026-04-06,Banking,medium,114
U00336,2025-07-19,Placements,low,375
U00337,2026-02-08,Placements,low,171
U00338,2026-06-14,CAT,low,45
U00339,2025-09-30,CAT,medium,302
U00340,2026-05-19,SSC,medium,71
U00341,2026-07-02,SSC,low,27
U00342,2026-03-16,Placements,medium,135
U00343,2025-10-01,Placements,medium,301
U00344,2025-06-16,CAT,medium,408
U00345,2026-06-26,CAT,low,33
U00346,2026-05-26,Placements,low,64
U00347,2025-07-06,Placements,medium,388
U00348,2025-06-30,Placements,low,394
U00349,2026-05-18,CAT,low,72
U00350,2025-11-25,CAT,medium,246
U00351,2026-06-05,Placements,low,54
U00352,2025-12-03,CAT,medium,238
U00353,2026-03-29,SSC,high,122
U00354,2025-07-13,CAT,high,381
U00355,2026-07-02,Placements,medium,27
U00356,2025-12-11,CAT,medium,230
U00357,2026-04-07,CAT,medium,113
U00358,2026-06-29,Placements,medium,30
U00359,2026-03-08,Placements,medium,143
U00360,2025-09-05,CAT,high,327
U00361,2025-10-05,CAT,low,297
U00362,2026-06-03,Placements,low,56
U00363,2026-04-30,Placements,low,90
U00364,2025-07-08,CAT,medium,386
U00365,2026-02-05,CAT,medium,174
U00366,2026-03-29,Placements,medium,122
U00367,2025-09-17,Banking,low,315
U00368,2025-12-10,Banking,medium,231
U00369,2025-10-26,Placements,low,276
U00370,2026-04-26,SSC,low,94
U00371,2026-02-11,CAT,medium,168
U00372,2025-06-15,CAT,high,409
U00373,2026-02-21,CAT,high,158
U00374,2026-04-05,Placements,low,115
U00375,2026-06-01,CAT,low,58
U00376,2025-10-10,SSC,medium,292
U00377,2026-06-06,CAT,low,53
U00378,2025-11-01,Placements,high,270
U00379,2025-06-23,Placements,medium,401
U00380,2025-12-15,Banking,medium,226
U00381,2025-11-27,Banking,low,244
U00382,2026-05-27,CAT,medium,63
U00383,2026-06-03,Placements,low,56
U00384,2026-04-19,CAT,medium,101
U00385,2025-10-30,Placements,medium,272
U00386,2025-11-29,CAT,high,242
U00387,2025-08-16,Placements,high,347
U00388,2026-06-14,CAT,medium,45
U00389,2025-11-19,Placements,low,252
U00390,2026-03-20,CAT,medium,131
U00391,2025-09-12,Placements,low,320
U00392,2025-12-06,CAT,high,235
U00393,2026-01-26,Placements,medium,184
U00394,2025-06-11,Placements,medium,413
U00395,2026-05-06,Placements,low,84
U00396,2026-02-10,CAT,high,169
U00397,2025-12-13,SSC,low,228
U00398,2025-12-06,SSC,high,235
U00399,2025-06-04,CAT,high,420
U00400,2026-03-23,Placements,low,128
U00401,2025-10-12,CAT,low,290
U00402,2025-12-18,CAT,medium,223
U00403,2025-09-01,Placements,low,331
U00404,2025-06-07,SSC,low,417
U00405,2026-01-27,CAT,medium,183
U00406,2026-03-03,CAT,high,148
U00407,2026-04-28,CAT,medium,92
U00408,2025-11-12,Placements,high,259
U00409,2026-01-04,Placements,medium,206
U00410,2025-08-15,Placements,low,348
U00411,2026-05-01,CAT,medium,89
U00412,2026-06-05,CAT,low,54
U00413,2025-09-02,CAT,low,330
U00414,2026-01-17,Placements,medium,193
U00415,2025-07-27,Banking,medium,367
U00416,2026-03-25,CAT,low,126
U00417,2026-05-05,CAT,low,85
U00418,2025-08-21,SSC,high,342
U00419,2025-12-28,Placements,medium,213
U00420,2025-06-14,CAT,medium,410
U00421,2026-06-25,Placements,high,34
U00422,2025-08-05,Placements,high,358
U00423,2026-04-20,Banking,low,100
U00424,2026-05-03,Placements,high,87
U00425,2025-12-14,Placements,medium,227
U00426,2026-06-14,Placements,low,45
U00427,2025-07-04,Placements,low,390
U00428,2025-08-02,SSC,low,361
U00429,2026-03-15,Placements,medium,136
U00430,2026-01-10,Placements,low,200
U00431,2026-02-18,CAT,low,161
U00432,2025-06-11,Placements,medium,413
U00433,2026-06-14,Placements,medium,45
U00434,2025-07-31,Banking,low,363
U00435,2025-06-14,Placements,high,410
U00436,2026-04-07,CAT,medium,113
U00437,2025-09-21,CAT,medium,311
U00438,2026-01-10,Placements,low,200
U00439,2025-06-02,CAT,high,422
U00440,2026-03-28,SSC,high,123
U00441,2026-04-29,SSC,low,91
U00442,2025-07-05,SSC,medium,389
U00443,2026-03-29,Placements,medium,122
U00444,2025-10-21,CAT,medium,281
U00445,2026-03-20,CAT,medium,131
U00446,2025-06-02,CAT,high,422
U00447,2026-03-12,CAT,medium,139
U00448,2025-07-05,Banking,medium,389
U00449,2026-05-01,Banking,medium,89
U00450,2026-01-26,CAT,medium,184
U00451,2025-06-26,CAT,medium,398
U00452,2025-06-26,Placements,medium,398
U00453,2025-09-09,Placements,low,323
U00454,2025-08-09,Placements,high,354
U00455,2026-02-11,CAT,medium,168
U00456,2026-05-20,SSC,medium,70
U00457,2025-12-25,SSC,medium,216
U00458,2026-05-08,SSC,high,82
U00459,2025-08-26,Placements,high,337
U00460,2026-02-26,CAT,medium,153
U00461,2025-06-13,CAT,medium,411
U00462,2025-11-24,CAT,low,247
U00463,2026-05-09,CAT,low,81
U00464,2026-05-08,CAT,low,82
U00465,2026-05-20,CAT,medium,70
U00466,2026-02-24,CAT,low,155
U00467,2026-01-23,Placements,low,187
U00468,2026-01-25,Placements,high,185
U00469,2026-02-07,CAT,medium,172
U00470,2026-02-09,CAT,high,170
U00471,2025-06-26,Banking,medium,398
U00472,2025-07-14,Placements,low,380
U00473,2025-10-21,CAT,medium,281
U00474,2026-05-10,CAT,low,80
U00475,2026-03-29,Placements,low,122
U00476,2026-01-24,Placements,high,186
U00477,2025-08-08,CAT,high,355
U00478,2026-05-24,Placements,medium,66
U00479,2025-12-15,Placements,medium,226
U00480,2026-02-15,CAT,medium,164
U00481,2025-08-06,CAT,high,357
U00482,2025-07-22,CAT,medium,372
U00483,2025-07-24,Placements,high,370
U00484,2026-03-16,Placements,high,135
U00485,2025-11-19,CAT,medium,252
U00486,2026-01-05,Banking,medium,205
U00487,2026-04-28,Placements,high,92
U00488,2026-05-02,Banking,low,88
U00489,2026-07-01,SSC,high,28
U00490,2026-06-12,CAT,medium,47
U00491,2026-04-04,Placements,low,116
U00492,2025-12-23,Placements,medium,218
U00493,2025-11-04,CAT,high,267
U00494,2026-01-09,Placements,high,201
U00495,2025-06-15,CAT,high,409
U00496,2026-02-07,CAT,high,172
U00497,2026-01-17,CAT,medium,193
U00498,2025-09-12,CAT,medium,320
U00499,2026-04-22,CAT,medium,98
U00500,2025-11-10,Banking,low,261
U00501,2026-04-01,CAT,high,119
U00502,2025-12-03,CAT,low,238
U00503,2025-12-17,CAT,medium,224
U00504,2026-05-23,Placements,low,67
U00505,2026-03-16,Banking,high,135
U00506,2026-05-18,Placements,low,72
U00507,2025-07-28,CAT,medium,366
U00508,2026-03-31,CAT,medium,120
U00509,2025-08-25,Placements,low,338
U00510,2025-08-16,CAT,high,347
U00511,2025-06-19,SSC,low,405
U00512,2025-11-29,Placements,high,242
U00513,2025-08-01,Placements,low,362
U00514,2025-09-13,Placements,high,319
U00515,2025-12-06,Placements,medium,235
U00516,2025-12-23,CAT,low,218
U00517,2025-10-01,Placements,low,301
U00518,2026-06-09,CAT,low,50
U00519,2026-03-19,Placements,low,132
U00520,2026-06-14,CAT,low,45
U00521,2026-05-06,Placements,medium,84
U00522,2026-01-22,CAT,low,188
U00523,2025-10-23,Banking,medium,279
U00524,2026-06-10,Placements,low,49
U00525,2026-02-27,CAT,medium,152
U00526,2026-07-06,CAT,low,23
U00527,2026-05-10,Placements,medium,80
U00528,2026-04-09,Placements,high,111
U00529,2025-08-29,Placements,medium,334
U00530,2025-11-28,CAT,low,243
U00531,2025-06-23,CAT,medium,401
U00532,2025-06-25,Placements,low,399
U00533,2026-02-09,CAT,high,170
U00534,2025-11-30,CAT,high,241
U00535,2025-07-25,CAT,low,369
U00536,2026-01-04,Placements,high,206
U00537,2026-01-26,Placements,high,184
U00538,2026-06-18,SSC,medium,41
U00539,2025-10-15,SSC,low,287
U00540,2026-06-05,Placements,low,54
U00541,2026-02-24,Placements,low,155
U00542,2025-12-31,Placements,medium,210
U00543,2026-04-24,CAT,medium,96
U00544,2026-01-29,Banking,high,181
U00545,2025-09-05,Placements,low,327
U00546,2025-12-03,Placements,low,238
U00547,2026-03-05,CAT,low,146
U00548,2025-08-01,CAT,low,362
U00549,2026-03-10,Placements,low,141
U00550,2025-08-06,CAT,low,357
U00551,2026-06-10,Placements,medium,49
U00552,2025-07-28,Placements,medium,366
U00553,2026-02-06,Placements,high,173
U00554,2026-06-08,Banking,low,51
U00555,2026-02-10,CAT,high,169
U00556,2025-10-13,Banking,high,289
U00557,2026-02-16,CAT,low,163
U00558,2026-01-17,Placements,low,193
U00559,2025-10-23,CAT,high,279
U00560,2026-02-11,CAT,medium,168
U00561,2026-01-17,Banking,low,193
U00562,2026-04-07,Banking,medium,113
U00563,2025-10-01,Placements,medium,301
U00564,2025-12-09,CAT,low,232
U00565,2026-04-11,Banking,high,109
U00566,2026-04-15,CAT,low,105
U00567,2026-05-08,CAT,high,82
U00568,2026-05-14,SSC,low,76
U00569,2025-11-18,Placements,high,253
U00570,2026-05-02,Placements,high,88
U00571,2026-03-09,Placements,high,142
U00572,2025-11-05,CAT,medium,266
U00573,2025-09-19,SSC,medium,313
U00574,2026-03-02,SSC,low,149
U00575,2025-09-29,SSC,medium,303
U00576,2025-12-08,CAT,low,233
U00577,2025-12-15,SSC,low,226
U00578,2026-04-06,Banking,high,114
U00579,2026-03-24,Placements,medium,127
U00580,2026-03-30,Placements,low,121
U00581,2026-01-27,Banking,medium,183
U00582,2026-06-20,CAT,low,39
U00583,2025-08-03,CAT,low,360
U00584,2025-08-30,Placements,medium,333
U00585,2025-11-27,CAT,low,244
U00586,2025-08-14,Placements,medium,349
U00587,2026-07-01,CAT,medium,28
U00588,2025-06-19,CAT,high,405
U00589,2025-07-12,SSC,high,382
U00590,2026-04-10,SSC,medium,110
U00591,2025-09-11,Placements,low,321
U00592,2025-07-02,Placements,high,392
U00593,2026-05-23,CAT,medium,67
U00594,2025-12-12,SSC,medium,229
U00595,2025-10-09,CAT,medium,293
U00596,2026-01-05,Banking,medium,205
U00597,2026-04-24,Banking,medium,96
U00598,2026-03-23,CAT,high,128
U00599,2025-08-03,CAT,high,360
U00600,2025-08-16,SSC,high,347
